
Step nr. 1, h = 0.01

Step nr. 2, h = 0.00566546927662687

Step nr. 3, h = 0.00397200843729084

Step nr. 4, h = 0.00318140915397666

Step nr. 5, h = 0.00276933524133059

Step nr. 6, h = 0.00253935314942065

Step nr. 7, h = 0.00240541695178571

Step nr. 8, h = 0.00232531838639979

Step nr. 9, h = 0.0022766162203231

Step nr. 10, h = 0.00224669762564074

Step nr. 11, h = 0.002228200850925

Step nr. 12, h = 0.00221672149911109

Step nr. 13, h = 0.00220958200890337

Step nr. 14, h = 0.00220513787974966

Step nr. 15, h = 0.00220237252339178

Step nr. 16, h = 0.00220065493529133

Step nr. 17, h = 0.00219959243777666

Step nr. 18, h = 0.00219894027123875

Step nr. 19, h = 0.00219854572088215

Step nr. 20, h = 0.00219831344218718

Step nr. 21, h = 0.0021981838853716

Step nr. 22, h = 0.00219811984819309

Step nr. 23, h = 0.00219809808612544

Step nr. 24, h = 0.00219810407447236

Step nr. 25, h = 0.00219812873695287

Step nr. 26, h = 0.00219816640196385

Step nr. 27, h = 0.00219821352560306

Step nr. 28, h = 0.00219826789370483

Step nr. 29, h = 0.0021983281231735

Step nr. 30, h = 0.00219839335034369

Step nr. 31, h = 0.00219846303621778

Step nr. 32, h = 0.00219853684474552

Step nr. 33, h = 0.002198614566752

Step nr. 34, h = 0.00219869607239462

Step nr. 35, h = 0.00219878128144975

Step nr. 36, h = 0.0021988701447427

Step nr. 37, h = 0.00219896263254194

Step nr. 38, h = 0.00219905872730585

Step nr. 39, h = 0.00219915841914959

Step nr. 40, h = 0.00219926170301229

Step nr. 41, h = 0.0021993685768865

Step nr. 42, h = 0.0021994790407119

Step nr. 43, h = 0.00219959309568384

Step nr. 44, h = 0.00219971074382146

Step nr. 45, h = 0.00219983198769771

Step nr. 46, h = 0.00219995683027085

Step nr. 47, h = 0.00220008527477917

Step nr. 48, h = 0.00220021732467535

Step nr. 49, h = 0.00220035298358552

Step nr. 50, h = 0.0022004922552838

Step nr. 51, h = 0.00220063514367648

Step nr. 52, h = 0.00220078165279233

Step nr. 53, h = 0.00220093178677655

Step nr. 54, h = 0.0022010855498872

Step nr. 55, h = 0.0022012429464931

Step nr. 56, h = 0.00220140398107261

Step nr. 57, h = 0.00220156865821303

Step nr. 58, h = 0.00220173698261034

Step nr. 59, h = 0.00220190895906925

Step nr. 60, h = 0.00220208459250325

Step nr. 61, h = 0.00220226388793496

Step nr. 62, h = 0.00220244685049634

Step nr. 63, h = 0.00220263348542908

Step nr. 64, h = 0.00220282379808498

Step nr. 65, h = 0.00220301779392637

Step nr. 66, h = 0.00220321547852643

Step nr. 67, h = 0.00220341685756974

Step nr. 68, h = 0.00220362193685268

Step nr. 69, h = 0.00220383072228388

Step nr. 70, h = 0.00220404321988465

Step nr. 71, h = 0.0022042594357896

Step nr. 72, h = 0.00220447937624693

Step nr. 73, h = 0.00220470304761908

Step nr. 74, h = 0.00220493045638317

Step nr. 75, h = 0.00220516160913154

Step nr. 76, h = 0.00220539651257228

Step nr. 77, h = 0.00220563517352975

Step nr. 78, h = 0.00220587759894515

Step nr. 79, h = 0.0022061237958771

Step nr. 80, h = 0.00220637377150212

Step nr. 81, h = 0.00220662753311532

Step nr. 82, h = 0.00220688508813096

Step nr. 83, h = 0.00220714644408298

Step nr. 84, h = 0.00220741160862574

Step nr. 85, h = 0.00220768058953452

Step nr. 86, h = 0.00220795339470622

Step nr. 87, h = 0.00220823003216001

Step nr. 88, h = 0.00220851051003797

Step nr. 89, h = 0.00220879483660575

Step nr. 90, h = 0.00220908302025329

Step nr. 91, h = 0.0022093750694954

Step nr. 92, h = 0.00220967099297264

Step nr. 93, h = 0.00220997079945189

Step nr. 94, h = 0.00221027449782714

Step nr. 95, h = 0.0022105820971202

Step nr. 96, h = 0.00221089360648151

Step nr. 97, h = 0.00221120903519078

Step nr. 98, h = 0.00221152839265793

Step nr. 99, h = 0.00221185168842372

Step nr. 100, h = 0.00221217893216069

Step nr. 101, h = 0.00221251013367384

Step nr. 102, h = 0.00221284530290157

Step nr. 103, h = 0.00221318444991647

Step nr. 104, h = 0.00221352758492616

Step nr. 105, h = 0.00221387471827415

Step nr. 106, h = 0.0022142258604408

Step nr. 107, h = 0.0022145810220441

Step nr. 108, h = 0.00221494021384066

Step nr. 109, h = 0.00221530344672658

Step nr. 110, h = 0.00221567073173846

Step nr. 111, h = 0.00221604208005424

Step nr. 112, h = 0.00221641750299423

Step nr. 113, h = 0.00221679701202208

Step nr. 114, h = 0.00221718061874583

Step nr. 115, h = 0.00221756833491877

Step nr. 116, h = 0.00221796017244059

Step nr. 117, h = 0.00221835614335841

Step nr. 118, h = 0.0022187562598678

Step nr. 119, h = 0.00221916053431384

Step nr. 120, h = 0.00221956897919224

Step nr. 121, h = 0.00221998160715038

Step nr. 122, h = 0.00222039843098855

Step nr. 123, h = 0.00222081946366096

Step nr. 124, h = 0.00222124471827696

Step nr. 125, h = 0.00222167420810216

Step nr. 126, h = 0.00222210794655968

Step nr. 127, h = 0.00222254594723132

Step nr. 128, h = 0.0022229882238587

Step nr. 129, h = 0.0022234347903447

Step nr. 130, h = 0.00222388566075446

Step nr. 131, h = 0.00222434084931693

Step nr. 132, h = 0.00222480037042591

Step nr. 133, h = 0.00222526423864151

Step nr. 134, h = 0.00222573246869143

Step nr. 135, h = 0.00222620507547234

Step nr. 136, h = 0.00222668207405123

Step nr. 137, h = 0.00222716347966683

Step nr. 138, h = 0.00222764930773089

Step nr. 139, h = 0.00222813957382984

Step nr. 140, h = 0.00222863429372605

Step nr. 141, h = 0.0022291334833593

Step nr. 142, h = 0.00222963715884843

Step nr. 143, h = 0.0022301453364927

Step nr. 144, h = 0.00223065803277343

Step nr. 145, h = 0.00223117526435542

Step nr. 146, h = 0.00223169704808873

Step nr. 147, h = 0.0022322234010101

Step nr. 148, h = 0.00223275434034466

Step nr. 149, h = 0.00223328988350753

Step nr. 150, h = 0.0022338300481056

Step nr. 151, h = 0.00223437485193909

Step nr. 152, h = 0.00223492431300331

Step nr. 153, h = 0.0022354784494905

Step nr. 154, h = 0.0022360372797915

Step nr. 155, h = 0.00223660082249752

Step nr. 156, h = 0.00223716909640204

Step nr. 157, h = 0.00223774212050268

Step nr. 158, h = 0.00223831991400289

Step nr. 159, h = 0.00223890249631409

Step nr. 160, h = 0.00223948988705744

