
Step nr. 1, h = 0.01

Step nr. 2, h = 0.02

Step nr. 3, h = 0.04

Step nr. 4, h = 0.08

Step nr. 5, h = 0.16

Step nr. 6, h = 0.32

Step nr. 7, h = 0.64

Step nr. 8, h = 1.17720521068988

Step nr. 9, h = 1.29200434493138

Step nr. 10, h = 1.39602991705234

Step nr. 11, h = 1.46995787286483

Step nr. 12, h = 1.5250329252319

Step nr. 13, h = 1.56662219833458

Step nr. 14, h = 1.59838841195344

Step nr. 15, h = 1.62289481435502

Step nr. 16, h = 1.64200589920638

Step nr. 17, h = 1.6571166585894

Step nr. 18, h = 1.66929807090828

Step nr. 19, h = 1.67939577939973

Step nr. 20, h = 1.68810130905151

Step nr. 21, h = 1.69600687371807

Step nr. 22, h = 1.70365084163853

Step nr. 23, h = 1.71155907871708

Step nr. 24, h = 1.72028681786233

Step nr. 25, h = 1.73046617651511

Step nr. 26, h = 1.74165427862479

Step nr. 27, h = 1.75410531049628

Step nr. 28, h = 1.77060234273159

Step nr. 29, h = 1.79247839687027

Step nr. 30, h = 1.82174545544937

Step nr. 31, h = 1.86136520152927

Step nr. 32, h = 1.91588251607429

Step nr. 33, h = 1.99265770827902

Step nr. 34, h = 2.10453988973027

Step nr. 35, h = 2.27658921080886

Step nr. 36, h = 2.56743562510069

Step nr. 37, h = 3.17623201630662

Step nr. 38, h = 3.41245404309113

Step nr. 39, h = 3.65095631945437

Step nr. 40, h = 3.24099509187187

Step nr. 41, h = 3.30739069317009

Step nr. 42, h = 3.11696755148795

Step nr. 43, h = 3.13552679270511

Step nr. 44, h = 3.59676624874307

Step nr. 45, h = 5.01267200778967

Step nr. 46, h = 3.82059826831805

Step nr. 47, h = 4.09829046745971

Step nr. 48, h = 3.74348272749571

Step nr. 49, h = 3.81999708371287

Step nr. 50, h = 3.92385852893334

Step nr. 51, h = 4.52415379649863

Step nr. 52, h = 5.92638940764348

Step nr. 53, h = 3.95805816585485

Step nr. 54, h = 4.46841502576891

Step nr. 55, h = 3.7753632886835

Step nr. 56, h = 3.93625357557783

Step nr. 57, h = 3.63118203527199

Step nr. 58, h = 3.69895035888283

Step nr. 59, h = 3.5272738419994

Step nr. 60, h = 3.45881596480832

Step nr. 61, h = 3.40363874920969

Step nr. 62, h = 3.36589322592824
Done in 62 steps!
