y' at t0: 0.466 0.432 0.466 0.432 -0.932 -0.865 -1.213 0.304 1.213 -0.304 0.000 0.000 

Step nr. 1, h = 0.001

Step nr. 2, h = 0.002

Step nr. 3, h = 0.004

Step nr. 4, h = 0.008

Step nr. 5, h = 0.016

Step nr. 6, h = 0.032

Step nr. 7, h = 0.064

Step nr. 8, h = 0.0865490905255492

Step nr. 9, h = 0.0747436159280708

Step nr. 10, h = 0.0772384896860558

Step nr. 11, h = 0.0717707712716512

Step nr. 12, h = 0.0728364907838082

Step nr. 13, h = 0.0694604952897624

Step nr. 14, h = 0.0678766798755979

Step nr. 15, h = 0.0714632944619576

Step nr. 16, h = 0.0738863308130159

Step nr. 17, h = 0.0752885434039167

Step nr. 18, h = 0.0802681243921238

Step nr. 19, h = 0.0839158876043726

Step nr. 20, h = 0.0870261528104534

Step nr. 21, h = 0.0927837700970534

Step nr. 22, h = 0.0921309115598711

Step nr. 23, h = 0.0886938611218768

Step nr. 24, h = 0.0778050705399796

Step nr. 25, h = 0.0802590618128441

Step nr. 26, h = 0.0733897267947322

Step nr. 27, h = 0.0747926948161731

Step nr. 28, h = 0.0705270711454298

Step nr. 29, h = 0.07132129149913

Step nr. 30, h = 0.0686122246000804

Step nr. 31, h = 0.0694485897339844

Step nr. 32, h = 0.0733762429542817

Step nr. 33, h = 0.0745395693821969

Step nr. 34, h = 0.0776347670515375

Step nr. 35, h = 0.0822804713363505

Step nr. 36, h = 0.085289647041731

Step nr. 37, h = 0.0893295000815644

Step nr. 38, h = 0.0939834256383031

Step nr. 39, h = 0.0912703753044917

Step nr. 40, h = 0.0823452317896272

Step nr. 41, h = 0.0845317401630756

Step nr. 42, h = 0.0755643459481935

Step nr. 43, h = 0.0774930462666381

Step nr. 44, h = 0.0719609375999433

Step nr. 45, h = 0.0730456958292282

Step nr. 46, h = 0.0695774139749339

Step nr. 47, h = 0.067959188249382

Step nr. 48, h = 0.0712319541959974

Step nr. 49, h = 0.0738250392727231

Step nr. 50, h = 0.0752183902818479

Step nr. 51, h = 0.0800218959873192

Step nr. 52, h = 0.0837603172666654

Step nr. 53, h = 0.0868144963577142

Step nr. 54, h = 0.0923576273929627

Step nr. 55, h = 0.0923789856634476

Step nr. 56, h = 0.0895335456433492

Step nr. 57, h = 0.0781152421915334

Step nr. 58, h = 0.080704676776481

Step nr. 59, h = 0.0736110873333912

Step nr. 60, h = 0.0750681308919346

Step nr. 61, h = 0.0706752602724244

Step nr. 62, h = 0.0714981672870317

Step nr. 63, h = 0.068713579932931

Step nr. 64, h = 0.0692358180338372

Step nr. 65, h = 0.0731170062505688

Step nr. 66, h = 0.0744477449746118

Step nr. 67, h = 0.0772717092949948

Step nr. 68, h = 0.082047282081325

Step nr. 69, h = 0.0851078443523465

Step nr. 70, h = 0.088986924042151

Step nr. 71, h = 0.094025115110707

Step nr. 72, h = 0.0912609794267621

Step nr. 73, h = 0.0830788664142827

Step nr. 74, h = 0.0851085172446579

Step nr. 75, h = 0.0758530016309786

Step nr. 76, h = 0.07785616141541

Step nr. 77, h = 0.07215168834335

Step nr. 78, h = 0.0732767977873564

Step nr. 79, h = 0.0697054291827238

Step nr. 80, h = 0.0680507616846622

Step nr. 81, h = 0.0709946532787989

Step nr. 82, h = 0.0737678645663912

